id_linea,id_programa,nombre_linea,,,,,,,,,,,,,,,,,,,,
1,1,Capacitar en herramientas y estrategias artísticas para el desarrollo integral infantil en la educación inicial.,,,,,,,,,,,,,,,,,,,,
2,2,"Desarrollar programas de formación artística básica en guitarra, violín, fotografía, teatro y danza.",,,,,,,,,,,,,,,,,,,,
3,3,Impartir seminarios y talleres formativos sobre participación ciudadana y liderazgo.,,,,,,,,,,,,,,,,,,,,
4,4,Capacitar en liderazgo orientado al trabajo colaborativo.,,,,,,,,,,,,,,,,,,,,
5,4,Capacitar en gestión de equipos efectivos.,,,,,,,,,,,,,,,,,,,,
6,4,Desarrollar habilidades de comunicación y confianza grupal.,,,,,,,,,,,,,,,,,,,,
7,4,Capacitar en resolución creativa y constructiva de conflictos.,,,,,,,,,,,,,,,,,,,,
8,4,Capacitar en formación especializada a facilitadores.,,,,,,,,,,,,,,,,,,,,
9,5,"Promover el desarrollo personal, social y vocacional en jóvenes",,,,,,,,,,,,,,,,,,,,
10,5,Fomentar actividades deportivas y recreativas para el aprendizaje colaborativo.,,,,,,,,,,,,,,,,,,,,
11,5,Brindar atención a la salud mental y desarrollar acciones  para el bienestar emocional de los jóvenes y las comunidades.,,,,,,,,,,,,,,,,,,,,
12,5,Implementar programas de orientación vocacional y fortalecer alianzas con instituciones para ampliar oportunidades educativas y laborales.,,,,,,,,,,,,,,,,,,,,
13,6,Implementar programas de formación técnica y digital especializada.,,,,,,,,,,,,,,,,,,,,
14,6,Fomentar habilidades para profesiones creativas y servicios especializados.,,,,,,,,,,,,,,,,,,,,
15,6,Desarrollar formación digital y tecnológica avanzada.,,,,,,,,,,,,,,,,,,,,
16,6,Fortalecer la vinculación intersectorial para ampliar oportunidades educativas y laborales.,,,,,,,,,,,,,,,,,,,,
17,7,Sensibilizar y promover la ética en sectores público y privado.,,,,,,,,,,,,,,,,,,,,
18,7,Capacitar en mecanismos de integridad.,,,,,,,,,,,,,,,,,,,,
19,7,Desarrollar formación especializada para servidores públicos.,,,,,,,,,,,,,,,,,,,,
20,8,Capacitar en habilidades críticas para la gestión pública.,,,,,,,,,,,,,,,,,,,,
21,8,Fomentar redes colaborativas entre funcionarios públicos.,,,,,,,,,,,,,,,,,,,,
22,9,Impulsar la producción artística colaborativa.,,,,,,,,,,,,,,,,,,,,
23,9,Fortalecer vínculos sostenibles entre artistas y comunidades.,,,,,,,,,,,,,,,,,,,,
24,10,Capacitar en habilidades financieras y empresariales.,,,,,,,,,,,,,,,,,,,,
25,10,Acompañar y validar proyectos emprendedores.,,,,,,,,,,,,,,,,,,,,
26,10,Fortalecer el ecosistema emprendedor.,,,,,,,,,,,,,,,,,,,,
27,11,Facilitar el acceso a oportunidades laborales.,,,,,,,,,,,,,,,,,,,,
28,11,Capacitar en habilidades laborales y derechos.,,,,,,,,,,,,,,,,,,,,
29,11,Fortalecer redes y promover la vinculación intersectorial.,,,,,,,,,,,,,,,,,,,,
30,11,Monitorear experiencias laborales.,,,,,,,,,,,,,,,,,,,,
31,12,Elaborar y formalizar una agenda medioambiental institucional basada en el diagnóstico de problemáticas ambientales en la ciudad.,,,,,,,,,,,,,,,,,,,,
32,12,Implementar ecotecnias comunitarias y proyectos de reforestación con especies nativas en espacios públicos.,,,,,,,,,,,,,,,,,,,,
